Wind_Speed,Methane_Lag_3,Methane_Lag_30,Industry_Distance_km,Methane_Lag_14,Methane_Lag_7,Methane_Lag_1,Temperature,Methane_Concentration,Time,Wind_Temp_Interaction,Methane_Lag_60,Methane_Lag_90
0.2313985294427432,0.486571919797206,0.453192191879352,0.9507858241000612,0.8337830784413773,0.519394949708647,0.6981102100892969,0.9206495813656704,1783.309138027002,2020-02-01,0.21303695926009328,1854.594238281238,1843.9173408388197
0.3517133201442963,0.5326885292545942,0.5544286516151855,0.7790498870984423,0.6952814209721101,0.6965168020625141,0.5584488063107234,0.6717152328664975,1783.716946039136,2020-02-01,0.23625119474297496,1887.631469726247,1853.5356315658312
0.3017724473280525,0.4929612331121662,0.5757814452485386,0.990350471672941,0.6399792509029547,0.4486247109493835,0.6672152823442401,0.7183073217350175,1837.2762212375435,2020-02-01,0.21676535841363503,1854.9111668632536,1837.230305880655
0.2153920921296832,0.5282968328642124,0.408496480884267,0.8051017244816641,0.5478065799391256,0.4392775804524369,0.594640734965207,0.2691854112033223,1858.4523372248152,2020-02-01,0.057980408889872645,1787.603683971246,1830.5231467775147
0.1800307324349591,0.4824131029525427,0.3942769202119294,0.2508078175299439,0.6653999365875318,0.7652860072132883,0.6367405457621054,0.6328853605825735,1839.8873896506095,2020-02-01,0.1139388150130439,1853.2904243994155,1875.3981636157023
0.1039271791552979,0.4488481420044943,0.6181129299257782,0.985809839758108,0.6772137365740569,0.6305920333539525,0.6676376590180064,0.1068451484027939,1759.0048718738672,2020-02-01,0.011104114879931551,1823.7480521975608,1820.716680492849
0.5965809419708269,0.5058861877120417,0.4835812752434263,0.3528485616357673,0.666696274947082,0.6201630895950165,0.7323584399437255,0.5989532483857731,1842.284974224759,2020-02-01,0.3573240931184712,1859.5034963076544,1867.7257843035209
0.7101715107461689,0.5247480970629521,0.5949554825235843,0.8909097264235427,0.6903535979363298,0.4909450688991708,0.6667938094056929,0.6054742618912705,1861.7693233728264,2020-02-01,0.4299905712852451,1862.1278877296968,1855.3911476980657
0.3136310908310818,0.38599424361397,0.4415698063368563,0.2074097679603027,0.6013094401659398,0.6279194660303169,0.6764606746668793,0.4914987352181157,1847.0902163515104,2020-02-01,0.1541492844685547,1858.21501066743,1815.1603607655115
0.1836658946129438,0.4246036034528142,0.2963855694139345,0.2185878763323945,0.7034004585177467,0.6198070083588556,0.3721381604713931,0.4512618713761407,1860.3659503300776,2020-02-01,0.08288141531101006,1817.9416056752736,1877.1445717388085
